Title,Artist,Nationality,Lifespan,Image_URL,Image_path,Birth,Death,Year,Impressionist,Highly_Detailed,Human_Subject,Landscape,Abstract,Ornamental_Pattern,Animal_Subject,Architecture_Subject,Many_Colors
Construction,László Moholy-Nagy,Hungarian, 1895 - 1946,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Construction%20(1924).jpg,Construction (1924).jpg,1895,1946.0,1924.0,0.033955659717321396,0.0036596928257495165,0.02159477211534977,0.08815815299749374,0.6903203725814819,0.005757372826337814,0.004615761339664459,0.11564654111862183,0.03629172220826149
Ohne Titel; aus; ‘Die 150 Blätter’ VII,Karl Wiener,Austrian, 1901-1949,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Ohne%20Titel;%20aus;%20‘Die%20150%20Blätter’%20VII%20(1940).jpg,Ohne Titel; aus; ‘Die 150 Blätter’ VII (1940).jpg,1901,1949.0,1940.0,0.20881079137325287,0.019899599254131317,0.25148123502731323,0.4089455306529999,0.012123891152441502,0.0014636502601206303,0.009738401509821415,0.08371829241514206,0.003818649798631668
Zeilboten op een werfhelling,Reijer Stolk,Dutch, 1896 - 1945,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Zeilboten%20op%20een%20werfhelling%20(1906).jpg,Zeilboten op een werfhelling (1906).jpg,1896,1945.0,1906.0,0.015952548012137413,0.020344357937574387,0.021256061270833015,0.07448572665452957,0.4002654552459717,0.07004684209823608,0.008205045014619827,0.3887661397457123,0.000677917618304491
Why,Karl Wiener,Austrian, 1901-1949,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Why%20(1940).jpg,Why (1940).jpg,1901,1949.0,1940.0,0.027613108977675438,0.09374897927045822,0.11714901775121689,0.44564110040664673,0.04723697155714035,0.04401642829179764,0.12723465263843536,0.040811240673065186,0.05654851719737053
Machinery,Charles Demuth,American, 1883-1935,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Machinery%20(1920).jpg,Machinery (1920).jpg,1883,1935.0,1920.0,0.0034823569003492594,0.012991172261536121,0.051289722323417664,0.061963822692632675,0.11081317812204361,0.011313479393720627,0.044034991413354874,0.7028753757476807,0.0012358601670712233
Schelpen,Onchi Kōshirō,Japanese, 1891-1955,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Schelpen%20(1950%20-%201959).jpg,Schelpen (1950 - 1959).jpg,1891,1955.0,1959.0,0.004329085350036621,0.02372361347079277,0.03575363755226135,0.13414962589740753,0.0897960439324379,0.23224735260009766,0.4446772038936615,0.019397765398025513,0.015925610437989235
Fairy Animal,Franz Marc,German, 1880-1916,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Fairy%20Animal %20(1913).jpg,Fairy Animal  (1913).jpg,1880,1916.0,1913.0,0.20686592161655426,0.0016175408381968737,0.006168158259242773,0.276463121175766,0.33698785305023193,0.0030661006458103657,0.05880505591630936,0.006123777013272047,0.10390251874923706
Benches in Kensington Park,Joseph Pennell,American, 1857-1926,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Benches%20in%20Kensington%20Park%20(1901).jpg,Benches in Kensington Park (1901).jpg,1857,1926.0,1901.0,0.7006493806838989,0.023693237453699112,0.010176058858633041,0.1333906203508377,0.016491906717419624,0.052377887070178986,0.006873079109936953,0.01673261635005474,0.03961518406867981
Bukkende naakte man,Reijer Stolk,Dutch, 1896 - 1945,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Bukkende%20naakte%20man%20(1924).jpg,Bukkende naakte man (1924).jpg,1896,1945.0,1924.0,0.002911870600655675,0.009158855304121971,0.22949694097042084,0.025902727618813515,0.018959734588861465,0.00636865571141243,0.683372437953949,0.02348294109106064,0.000345872831530869
Sonnenuntergang,Karl Wiener,Austrian, 1901-1949,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Sonnenuntergang%20(around%201929).jpg,Sonnenuntergang (around 1929).jpg,1901,1949.0,1929.0,0.004194214008748531,0.01630321703851223,0.011600625701248646,0.7458927035331726,0.033193666487932205,0.005865425802767277,0.0057935104705393314,0.17680418491363525,0.00035238463897258043
Resting Herdsman,Arnold Peter Weisz-Kubínčan,Slovak, 1898 - 1944,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Resting%20Herdsman%20(1943–1944).jpg,Resting Herdsman (1943–1944).jpg,1898,1944.0,1944.0,0.03123510628938675,0.0011113723739981651,0.004998594056814909,0.9385396242141724,0.006033423822373152,0.0009942421456798911,0.004436709452420473,0.012412883341312408,0.00023795862216502428
Massacre of the Innocents,Cyprián Majerník,Slovak, 1909 - 1945,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Massacre%20of%20the%20Innocents%20(1936).jpg,Massacre of the Innocents (1936).jpg,1909,1945.0,1936.0,0.18278814852237701,0.027904724702239037,0.36582618951797485,0.23178094625473022,0.047500044107437134,0.005961179733276367,0.09082353115081787,0.0176817886531353,0.029733503237366676
Two women after bath,Mikuláš Galanda,Slovak, 1895 – 1938,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Two%20women%20after%20bath%20(1932).jpg,Two women after bath (1932).jpg,1895,1938.0,1932.0,0.07209806144237518,0.016245249658823013,0.39781737327575684,0.13089032471179962,0.24088744819164276,0.011493357829749584,0.030080752447247505,0.09548727422952652,0.005000194068998098
Kunstgewerbliche Schmuckformen fur die Flache Pl 46,Christian Stoll,German, 20th Century,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Kunstgewerbliche%20Schmuckformen%20fur%20die%20Flache%20Pl%2046%20(1920).jpg,Kunstgewerbliche Schmuckformen fur die Flache Pl 46 (1920).jpg,1900,2000.0,1920.0,6.686317192361457e-06,0.0020884533878415823,0.0007568321307189763,0.0006928464281372726,0.00036204347270540893,0.9947342872619629,0.00045718951150774956,0.0008665265049785376,3.5151733754901215e-05
Kinder Und Hund (Children And Dog),Paul Klee,German, 1879 - 1940,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Kinder%20Und%20Hund%20(Children%20And%20Dog)%20(1920).jpg,Kinder Und Hund (Children And Dog) (1920).jpg,1879,1940.0,1920.0,0.151045024394989,0.010002100840210915,0.1475972980260849,0.27908363938331604,0.1283857524394989,0.025686115026474,0.04586273431777954,0.14587189257144928,0.06646542251110077
"Große Dame, kleiner Mann",Karl Wiener,Austrian, 1901-1949,"https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Große%20Dame,%20kleiner%20Mann%20(1939).jpg","Große Dame, kleiner Mann (1939).jpg",1901,1949.0,1939.0,0.00760481134057045,0.09610728919506073,0.25414377450942993,0.049962908029556274,0.10456132888793945,0.09585209935903549,0.14887091517448425,0.23500153422355652,0.007895348593592644
Simultaneous Composition,Theo van Doesburg,Dutch, 1883 – 1931,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Simultaneous Composition%20(1929).jpg,Simultaneous Composition (1929).jpg,1883,1931.0,1929.0,0.019852709025144577,0.009770778939127922,0.029797499999403954,0.15897223353385925,0.4541204869747162,0.04626249894499779,0.009313247166574001,0.24303007125854492,0.028880562633275986
Two children on a balcony,Tadeusz Makowski,Polish, 1882-​1932,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Two%20children%20on%20a%20balcony%20(1920).jpg,Two children on a balcony (1920).jpg,1882,1932.0,1920.0,0.9047232866287231,0.0009007496992126107,0.020076928660273552,0.060309961438179016,0.0024732269812375307,0.0009138374007306993,0.003147315001115203,0.006287373602390289,0.0011672807158902287
Prismes-13,Emile-Allain Séguy,French, 1877-1951,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Prismes-13%20(1931).jpg,Prismes-13 (1931).jpg,1877,1951.0,1931.0,0.001040786155499518,0.015811152756214142,0.002404124941676855,0.01685202121734619,0.26233646273612976,0.6568862199783325,0.016391025856137276,0.026376476511359215,0.001901699579320848
Samota,Arnold Peter Weisz-Kubínčan,Slovak, 1898 - 1944,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Samota%20(1935–1944).jpg,Samota (1935–1944).jpg,1898,1944.0,1944.0,0.07908691465854645,0.0021132747642695904,0.0008168515050783753,0.9062108397483826,0.001332647749222815,0.0019149577710777521,0.0009611452114768326,0.0017645827028900385,0.0057987915351986885
Quarry Reflections,Paul Shively,American, 1897–1987,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Quarry%20Reflections%20(1926).jpg,Quarry Reflections (1926).jpg,1897,1987.0,1926.0,0.007697695400565863,0.0019218323286622763,0.000528473115991801,0.9821186065673828,0.001269698841497302,0.0009917683200910687,0.000952603411860764,0.0032339394092559814,0.0012853470398113132
The Barbed Noose with the Mice,Paul Klee,German, 1879 - 1940,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/The%20Barbed%20Noose%20with%20the%20Mice%20(1923).jpg,The Barbed Noose with the Mice (1923).jpg,1879,1940.0,1923.0,0.025983689352869987,0.01763346418738365,0.01260937750339508,0.17241889238357544,0.21839776635169983,0.4959561228752136,0.016531050205230713,0.03155459091067314,0.00891504343599081
Decoratief ornament met vier leeuwen met twee koppen,Carel Adolph Lion Cachet,Dutch, 1864 – 1945,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Decoratief%20ornament%20met%20vier%20leeuwen%20met%20twee%20koppen%20(1874).jpg,Decoratief ornament met vier leeuwen met twee koppen (1874).jpg,1864,1945.0,1874.0,3.649306745501235e-05,0.017153510823845863,0.0006774058565497398,0.0015026098117232323,0.0017501837573945522,0.9429795145988464,0.0021177749149501324,0.03369145095348358,9.11345414351672e-05
Melancholy. Weeping Woman on the Beach,Edvard Munch,Norwegian, 1863 - 1944,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Melancholy.%20Weeping%20Woman%20on%20the%20Beach%20(1906).jpg,Melancholy. Weeping Woman on the Beach (1906).jpg,1863,1944.0,1906.0,0.8100590705871582,0.000216866988921538,0.00815742276608944,0.15148009359836578,0.015120781026780605,0.0001766990899341181,0.002787343692034483,0.002100597135722637,0.009901179932057858
La Poissonnière,Jankel Adler,Polish, 1895-1949,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/La%20Poissonnière%20(1947).jpg,La Poissonnière (1947).jpg,1895,1949.0,1947.0,0.5669782161712646,0.002573456149548292,0.017725836485624313,0.23526549339294434,0.12508995831012726,0.0013241940177977085,0.009575383737683296,0.02930142730474472,0.012166057713329792
Melancholy II,Edvard Munch,Norwegian, 1863 - 1944,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Melancholy%20II%20(1898).jpg,Melancholy II (1898).jpg,1863,1944.0,1898.0,0.03437337651848793,0.012435280717909336,0.2433527112007141,0.4337379038333893,0.126739501953125,0.011801929213106632,0.04442386329174042,0.0876433327794075,0.005492134485393763
Wasserburg,Alexej von Jawlensky,Russian, 1864-1941,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Wasserburg%20(1906).jpg,Wasserburg (1906).jpg,1864,1941.0,1906.0,0.3831435739994049,0.00022427571821026504,0.0010069685522466898,0.6117900609970093,0.0004399455210659653,3.8270605728030205e-05,0.0002829460136126727,0.0012521699536591768,0.0018217957112938166
Ohne Titel,Wassily Kandinsky,Russian, 1866 - 1944,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Ohne%20Titel%20(1930).jpg,Ohne Titel (1930).jpg,1866,1944.0,1930.0,0.00872002076357603,0.023973235860466957,0.13700325787067413,0.015282849781215191,0.45932841300964355,0.06569189578294754,0.03549893945455551,0.25410395860671997,0.00039741492946632206
Outdoor Cafe,Maurice Prendergast,American, 1858-1924,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Outdoor%20Cafe%20(ca.%201892).jpg,Outdoor Cafe (ca. 1892).jpg,1858,1924.0,1892.0,0.8566752076148987,0.0006243637180887163,0.003318769158795476,0.12963077425956726,0.0007525276159867644,0.002784717595204711,0.002695496194064617,0.0025777132250368595,0.000940490048378706
lllustration for Juliusz Słowacki’s Genesis from the Spirit Juliusza Słowackiego,Jerzy Hulewicz,Polish, 1886-1941,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/lllustration%20for%20Juliusz%20Słowacki’s%20Genesis%20from%20the%20Spirit%20Juliusza%20Słowackiego%20(1918).jpg,lllustration for Juliusz Słowacki’s Genesis from the Spirit Juliusza Słowackiego (1918).jpg,1886,1941.0,1918.0,0.003204652341082692,0.004389557521790266,0.02798434905707836,0.20029184222221375,0.034890316426754,0.18524038791656494,0.5330246686935425,0.010128457099199295,0.0008457813528366387
Stillleben mit Bronzekopf,Oskar Moll,German, 1875 - 1947,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Stillleben%20mit%20Bronzekopf%20(1945).jpg,Stillleben mit Bronzekopf (1945).jpg,1875,1947.0,1945.0,0.6665496826171875,0.007446820382028818,0.005870864260941744,0.15403315424919128,0.029445556923747063,0.09950157254934311,0.00808409508317709,0.01778949424624443,0.01127874106168747
Jardin,Antoine Bourdelle,French, 1861 – 1929,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Jardin%20(1905).jpg,Jardin (1905).jpg,1861,1929.0,1905.0,0.34564223885536194,0.015364945866167545,0.02008386142551899,0.5022594332695007,0.010772346518933773,0.037329643964767456,0.05106154456734657,0.014508472755551338,0.002977608237415552
De Kostverloren Vaart te Amsterdam gezien in noordelijke richting,Rik Wouters,Belgian, 1882 – 1916,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/De%20Kostverloren%20Vaart%20te%20Amsterdam%20gezien%20in%20noordelijke%20richting%20(1915).jpg,De Kostverloren Vaart te Amsterdam gezien in noordelijke richting (1915).jpg,1882,1916.0,1915.0,0.23334571719169617,0.001609666971489787,0.0008898076484911144,0.7475741505622864,0.0033608863595873117,0.00032627853215672076,0.000769622391089797,0.007406615186482668,0.00471731461584568
